author_id,author_name
1,A. Bartlett Giamatti
2,A. Elizabeth Delany
3,A. Merritt
4,A. Roger Merrill
5,A. Walton Litz
6,A.B. Yehoshua
7,A.D.P. Briggs
8,A.E. Cunningham
9,A.E. van Vogt
10,A.G. Pasquella
11,A.H. Armstrong
12,A.J. Arberry
13,A.J. Ayer
14,A.J. Jacobs
15,A.J. McAllister
16,A.M. Dellamonica
17,A.M. Homes
18,A.N. Roquelaure
19,A.N. Wilson
20,A.R. Braunmuller
21,A.R. Taylor
22,A.S. Byatt
23,A.T. Hatto
24,A.V. Miller
25,Aaron Anderson
26,Aaron Asher
27,Aaron Medwin
28,Aaron Rosenberg
29,Aaron Shepard
30,Abbe Wool
31,Abbie Hoffman
32,Abdul Rahman Munif
33,Abdul-Karim Mustapha
34,Abigail Adams
35,Abigail Thomas
36,Abolqasem Ferdowsi
37,Abraham Lincoln
38,Abraham Moore
39,Adam  Sexton
40,Adam Drozdek
41,Adam Gauntlett
42,Adam Ginsberg
43,Adam Golaski
44,Adam Gopnik
45,Adam Hargreaves
46,Adam Haslett
47,Adam Hochschild
48,Adam Lesh
49,Adam Long
50,Adam Mansbach
51,Adam Mars-Jones
52,Adam McCauley
53,Adam Phillips
54,Adam Rex
55,Adam Roberts
56,Adam Smith
57,Adam Swift
58,Adam Woog
59,Adam-Troy Castro
60,Adela Pinch
61,Adi Granov
62,Adolfo Bioy Casares
63,Adolfo Pérez Perdomo
64,Adrian    Reynolds
65,Adrian Alphona
66,Adrian Esteban
67,Adrian Geoffrey Gilbert
68,Adrian Guelke
69,Adrian Lester
70,Adrian McKinty
71,Adrian Wootton
72,Adrienne Theimer
73,Adrián Ferrero
74,Adèle Geras
75,Adèle Lang
76,Aeon J. Skoble
77,Aeschylus
78,Aesop
79,Agatha Christie
80,Agnes D. Kingston
81,Agnolo di Cosimo Bronzino
82,Ai Morinaga
83,Aidan Hartley
84,Aimee Bender
85,Aimee Friedman
86,Aimé Césaire
87,Aine Greaney
88,Akhil   Sharma
89,Akihiro Yamada
90,Akira Watanabe
91,Akira Yoshida
92,Al Dempster
93,Al Franken
94,Al Gore
95,Al Ries
96,Al Rio
97,Al Switzler
98,Alafair Burke
99,Alain Defossé
100,Alain Korkos
101,Alain de Botton
102,Alak Zenkar
103,Alan  Lee
104,Alan Aldridge
105,Alan Brennert
106,Alan Cohen
107,Alan Dean Foster
108,Alan Durband
109,Alan Ereira
110,Alan Greenspan
111,Alan H. Sommerstein
112,Alan Hausman
113,Alan Hollinghurst
114,Alan Jay Lerner
115,Alan Jolis
116,Alan Judd
117,Alan Langford
118,Alan Lightman
119,Alan MacGillivray
120,Alan Moore
121,Alan Myers
122,Alan Paton
123,Alan R. Clarke
124,Alan Rosenus
125,Alan Shapiro
126,Alan Witschonke
127,Alastair Hamilton
128,Alastair Hannay
129,Alastair Lamb
130,Alastair McEwen
131,Alastair Reid
132,Alastair Westgarth
133,Albert Camus
134,Albert Demeo
135,Albert Einstein
