book_genre_id,genre_id,book_id
1,10,42692
2,12,38212
3,9,6624
4,1,40710
5,8,17179
6,6,1561
7,5,34895
8,1,42519
9,8,31462
10,10,8088
11,9,14741
12,6,14310
13,1,35426
14,2,99
15,6,1879
16,6,4695
17,9,17766
18,5,484
19,12,18839
20,9,13067
21,8,21712
22,8,24581
23,10,22344
24,2,38664
25,5,16605
26,10,19377
27,1,34495
28,1,2049
29,3,42652
30,3,18966
31,10,2932
32,1,23503
33,9,21352
34,8,31678
35,8,16305
36,12,9923
37,10,43758
38,3,14680
39,6,32831
40,6,24863
41,3,21062
42,6,6227
43,7,24281
44,4,35805
45,2,25869
46,6,11551
47,7,38551
48,8,29617
49,4,30041
50,7,1936
51,9,24345
52,8,23545
53,3,12505
54,2,22409
55,11,35433
56,4,13806
57,8,10631
58,2,21539
59,12,19379
60,12,11486
61,8,11854
62,2,20425
63,1,40200
64,3,18822
65,3,9620
66,7,5881
67,1,35283
68,3,22616
69,3,42862
70,12,3707
71,4,29960
72,12,10061
73,11,23848
74,4,34766
75,3,41098
76,8,40318
77,3,5544
78,2,28866
79,2,98
80,2,7603
81,3,40491
82,7,21365
83,7,37408
84,11,12398
85,7,44536
86,7,9864
87,3,29993
88,3,25780
89,5,32778
90,10,59
91,4,20645
92,5,12561
93,2,43723
94,4,38511
95,3,8087
96,5,28569
97,7,9666
98,3,13878
99,8,9014
100,10,40331
101,5,13137
102,7,44921
103,12,44446
104,2,24887
105,9,28660
106,3,15624
107,2,12468
108,12,40048
109,2,5585
110,6,25866
111,8,22875
112,12,15826
113,12,16329
114,6,7199
115,1,11698
116,9,1984
117,11,5240
118,5,13994
119,10,39286
120,12,759
121,12,30743
122,5,39315
123,10,41489
124,3,4921
125,4,6176
126,3,7830
127,11,41719
128,7,30969
129,2,23224
130,9,11707
131,10,34153
132,1,7361
133,12,14389
134,2,30580
135,12,25708
136,2,13105
137,9,24727
138,2,5752
139,11,16535
140,9,22155
141,5,39004
142,11,8908
143,3,8230
144,9,24378
145,7,25142
146,1,22390
147,8,2881
148,6,13602
149,2,29685
150,6,31851
151,9,26236
152,5,25021
153,11,28413
154,10,15312
155,8,38669
156,6,13548
157,11,27421
158,2,22401
159,2,17215
160,6,38570
161,3,29442
162,10,20962
163,4,22559
164,7,39724
165,1,2209
166,11,34463
167,2,41128
168,8,10008
169,11,10686
170,3,2868
171,9,5197
172,10,902
173,12,19135
174,12,3507
175,8,30214
176,5,9125
177,6,10006
178,8,39905
179,9,22356
180,8,42533
181,3,28404
182,10,8917
183,7,13983
184,11,13666
185,2,39585
186,10,28231
187,6,38412
188,4,1936
189,11,11431
190,1,30575
191,4,33441
192,9,43960
193,10,41451
194,10,650
195,10,1387
196,5,9149
197,12,9997
198,6,24703
199,3,16059
200,11,18172
201,6,24524
202,6,5071
203,9,6424
204,8,35455
205,12,359
206,10,33681
207,1,9838
208,9,25175
209,10,12230
210,1,8787
211,9,27399
212,7,16532
