library_book_id,library_id,book_id,qty
1,10,31669,31
2,8,42849,4
3,3,18800,15
4,2,30937,4
5,4,21290,1
6,4,38524,13
7,6,16322,33
8,6,33541,17
9,7,32351,3
10,4,25743,28
11,9,22745,31
12,3,42513,29
13,5,18419,9
14,7,3445,4
15,6,4625,19
16,8,44002,44
17,8,21325,29
18,4,42435,1
19,1,24455,0
20,9,34014,44
21,8,2211,6
22,10,39785,27
23,7,31875,35
24,1,27427,40
25,1,43027,2
26,4,3444,10
27,4,31095,22
28,9,27543,44
29,7,12936,13
30,2,18013,14
31,3,4424,14
32,1,8801,40
33,10,7552,39
34,3,9464,23
35,1,14741,26
36,3,31481,41
37,3,41093,18
38,1,15910,30
39,1,26973,39
40,1,2677,0
41,2,29588,20
42,4,7972,32
43,2,34762,25
44,3,8801,41
45,8,45486,4
46,4,31619,19
47,1,26908,28
48,9,27557,11
49,6,8021,21
50,1,23884,10
51,5,26407,28
52,7,45336,36
53,3,3649,45
54,8,5136,14
55,1,159,16
56,1,18214,10
57,6,10624,33
58,1,30005,45
59,2,13829,36
60,3,13104,32
61,9,40836,15
62,2,42162,31
63,7,1326,36
64,7,3493,25
65,5,41088,38
66,6,1459,36
67,9,888,40
68,10,29151,0
69,8,4434,8
70,6,16888,44
71,9,14870,24
72,7,8682,20
73,5,22994,31
74,2,31742,6
75,5,19822,9
76,9,3976,42
77,3,4278,5
78,2,36893,12
79,4,45220,0
80,10,45354,11
81,6,10528,24
82,3,21783,7
83,3,24703,10
84,3,7783,39
85,10,18294,40
86,2,23793,35
87,9,3462,4
88,8,8971,4
89,9,28636,35
90,6,20423,19
91,2,11075,40
92,4,16879,40
93,9,5453,13
94,4,36567,27
95,7,17580,9
96,6,37766,12
97,7,23219,18
98,10,23588,38
99,5,5509,4
100,6,12947,15
101,7,1538,41
102,6,5412,33
103,1,6460,16
104,5,25460,11
105,2,20687,14
106,9,5102,24
107,8,33569,19
108,1,10108,37
109,2,15782,31
110,6,23293,27
111,10,13139,45
112,5,38640,5
113,1,1032,32
114,8,8529,37
115,4,13063,44
116,9,8787,39
117,1,32979,19
118,6,39625,5
119,1,19961,24
120,3,1595,44
121,3,13730,22
122,5,42885,21
123,5,707,2
124,9,17872,35
125,9,14995,22
126,6,17116,20
127,2,22472,5
128,7,7778,32
129,4,39829,24
130,6,8021,27
131,4,42558,11
132,5,16918,40
133,6,21327,40
134,8,6543,41
135,10,2373,4
136,1,30036,13
137,1,39970,13
138,7,403,8
139,4,33574,16
140,4,2388,16
141,7,18281,7
142,3,15855,40
143,10,9638,24
144,4,15209,20
145,4,1274,45
146,5,7138,43
147,4,18260,30
148,9,23589,2
149,7,29456,22
150,2,19911,28
151,9,22193,40
152,6,35210,17
153,3,21151,35
154,8,25403,37
155,10,3834,14
156,7,44350,6
157,10,7830,13
158,8,27823,43
159,1,30528,7
160,4,38533,33
161,9,17352,38
162,8,28819,40
163,10,12401,45
164,8,7811,4
165,6,15796,7
166,10,2552,25
167,7,33013,35
168,5,43098,36
169,5,12016,2
170,1,977,25
171,1,2781,32
172,6,34080,38
173,1,29842,16
174,8,32234,39
175,1,20876,44
176,4,539,23
177,9,15550,3
178,6,249,31
179,7,3351,38
180,5,30347,29
181,4,397,44
182,9,22219,3
183,7,18427,23
184,1,3770,5
185,1,10964,18
186,7,42020,20
187,7,32313,7
188,6,22803,37
189,8,33953,32
190,2,38522,33
191,8,36535,26
192,7,30258,40
193,3,5452,15
194,2,34157,20
195,4,6483,27
196,3,13336,19
197,6,13495,4
198,10,9904,40
199,2,11372,43
200,9,15518,17
201,8,5338,24
202,3,33007,15
203,5,30067,22
204,9,32418,10
205,7,998,14
206,3,41713,4
207,3,13807,36
208,2,6298,26
209,6,21686,43
210,4,36904,14
211,3,19082,21
212,6,10806,20
213,7,39724,38
214,2,35561,20
215,8,24674,36
216,10,11514,29
217,5,13538,36
218,10,19633,7
219,4,13196,28
220,4,11910,27
221,1,36644,4
222,2,14118,36
223,5,30280,1
224,4,33824,14
225,6,1494,39
226,7,25495,10
227,10,28866,32
228,1,32060,18
229,3,23,19
230,10,44246,36
231,6,22932,27
232,5,25725,21
233,8,2815,1
234,7,9186,35
235,5,30220,23
236,8,37190,40
237,9,43060,26
238,6,12381,44
239,6,10656,27
240,1,13104,9
241,3,20552,9
242,2,12550,1
243,3,18279,33
244,1,10528,38
245,2,28468,36
246,3,12557,8
247,7,213,21
248,1,39749,3
249,6,13144,23
250,10,14946,29
251,8,21484,10
252,6,8703,35
253,1,14064,27
254,10,18328,22
255,7,34844,29
256,1,16542,0
257,3,13546,12
258,8,7260,10
259,2,17828,41
260,6,7515,31
261,3,22307,40
262,9,29205,38
263,8,43089,45
264,5,25248,25
265,5,11428,35
266,9,14934,12
267,10,6076,45
268,7,15241,10
269,5,5310,4
270,10,2236,34
271,3,24065,19
272,4,35249,17
273,1,61,6
274,5,2137,31
275,5,43673,33
276,1,23552,31
277,5,32122,40
278,7,10884,18
279,10,10203,7
280,1,32656,32
281,8,18802,16
282,6,12268,37
283,7,38826,33
284,10,1984,27
285,8,33559,11
286,1,41054,4
287,5,3072,26
288,6,10285,21
289,10,41773,11
290,4,9831,33
291,3,23260,26
292,10,33880,15
293,8,44296,28
294,1,4070,19
295,3,33824,8
296,8,22626,32
297,1,11995,34
298,2,33868,1
299,3,36072,32
300,8,25431,9
301,10,1946,38
302,7,39690,10
303,3,19435,5
304,2,37231,29
305,8,33496,12
306,9,10973,17
307,8,13164,25
308,4,37690,26
309,1,10846,1
310,9,32083,18
311,1,7830,6
312,7,576,34
313,1,22374,16
314,4,9326,39
315,3,34052,36
316,1,20501,45
317,2,22186,31
318,10,12137,31
319,7,8971,25
320,2,43678,6
321,6,33008,19
322,7,38154,40
323,1,14891,43
324,8,30512,21
325,9,7805,16
326,6,40303,2
327,3,33543,24
328,4,30270,26
329,6,37743,44
330,10,12473,24
331,5,12631,8
332,8,20287,2
333,5,3900,31
334,8,12147,41
335,8,22554,32
336,9,13399,20
337,7,12678,16
338,8,29580,35
339,2,30390,28
340,7,14279,44
341,3,26697,37
342,2,5306,14
343,6,25226,15
344,9,42212,17
345,1,7453,40
346,6,7266,15
347,7,6753,40
348,9,12937,11
349,4,4099,4
350,3,966,2
351,9,23926,39
352,4,33484,23
353,4,12419,39
354,1,19802,19
355,9,12803,13
356,4,25078,39
357,5,16322,24
358,4,17550,2
359,10,44067,21
360,1,36303,34
361,5,32461,18
362,2,39671,12
363,9,43702,26
364,8,13951,29
365,8,32370,4
366,1,38860,2
367,3,39623,35
368,5,43220,31
369,9,4835,11
370,3,39242,15
371,3,45503,40
372,1,13042,23
373,5,24213,19
374,6,40490,28
375,10,44787,12
376,2,12328,5
377,9,24374,3
378,8,9913,12
379,5,38643,14
380,6,35407,2
381,3,39242,33
382,10,9841,27
383,5,9806,0
384,6,12458,10
385,4,5863,43
386,10,30282,25
387,10,44148,44
388,8,39004,17
389,6,24951,7
390,1,5671,23
391,3,19312,39
392,2,11482,40
393,2,43268,25
394,4,31050,19
395,3,24905,33
396,4,35050,28
397,3,9681,7
398,4,32302,17
399,2,44034,25
400,7,20549,35
401,2,29941,1
402,6,24384,17
403,2,11623,2
404,5,27590,43
405,10,37858,0
406,8,31992,28
407,6,27118,24
408,8,38155,4
409,9,28350,2
410,9,28597,41
411,7,26482,42
412,7,10539,23
413,3,2705,38
414,7,13603,39
415,4,45442,4
416,8,40020,3
417,8,40160,32
418,8,357,38
419,5,16459,11
420,3,33837,28
421,5,9961,16
422,3,23827,14
423,3,4009,30
424,2,40143,7
425,8,3346,3
426,7,37356,23
427,10,11698,16
428,6,7582,17
429,2,13639,32
430,7,31484,19
431,2,12960,11
432,7,11769,11
433,1,11503,7
434,4,24202,2
435,4,7344,40
436,2,19100,4
437,10,2802,40
438,8,12984,32
439,5,32307,35
440,6,25743,33
441,1,42054,35
442,8,37766,44
443,1,39941,0
444,1,2932,27
445,1,31502,2
446,5,33608,42
447,2,30969,30
448,10,21996,23
449,4,36550,39
450,6,10921,44
451,2,22326,20
452,4,20505,14
453,10,21719,17
454,5,1681,35
455,5,25225,30
456,4,2526,31
457,7,356,18
458,1,35822,29
